"tipo_vehiculo","anio_inscripcion_inicial","mes_inscripcion_inicial","provincia_inscripcion_inicial","letra_provincia_inscripcion_inicial","cantidad_inscripciones_iniciales","provincia_id"
"Automotores",2001,1,"Buenos Aires","B",10251,"06"
"Automotores",2001,1,"Catamarca","K",277,"10"
"Automotores",2001,1,"Chaco","H",537,"22"
"Automotores",2001,1,"Chubut","U",777,"26"
"Automotores",2001,1,"Ciudad Autónoma de Bs.As.","C",8242,"02"
"Automotores",2001,1,"Córdoba","X",3745,"14"
"Automotores",2001,1,"Corrientes","W",575,"18"
"Automotores",2001,1,"Entre Ríos","E",763,"30"
"Automotores",2001,1,"Formosa","P",404,"34"
"Automotores",2001,1,"Jujuy","Y",470,"38"
"Automotores",2001,1,"La Pampa","L",330,"42"
"Automotores",2001,1,"La Rioja","F",360,"46"
"Automotores",2001,1,"Mendoza","M",1281,"50"
"Automotores",2001,1,"Misiones","N",609,"54"
"Automotores",2001,1,"Neuquén","Q",630,"58"
"Automotores",2001,1,"Río Negro","R",423,"62"
"Automotores",2001,1,"Salta","A",573,"66"
"Automotores",2001,1,"San Juan","J",526,"70"
"Automotores",2001,1,"San Luis","D",434,"74"
"Automotores",2001,1,"Santa Cruz","Z",341,"78"
"Automotores",2001,1,"Santa Fe","S",3281,"82"
"Automotores",2001,1,"Santiago del Estero","G",332,"86"
"Automotores",2001,1,"Tierra del Fuego","V",320,"94"
"Automotores",2001,1,"Tucumán","T",970,"90"
"Automotores",2001,2,"Buenos Aires","B",4970,"06"
"Automotores",2001,2,"Catamarca","K",114,"10"
"Automotores",2001,2,"Chaco","H",191,"22"
"Automotores",2001,2,"Chubut","U",399,"26"
"Automotores",2001,2,"Ciudad Autónoma de Bs.As.","C",4288,"02"
"Automotores",2001,2,"Córdoba","X",1507,"14"
"Automotores",2001,2,"Corrientes","W",223,"18"
"Automotores",2001,2,"Entre Ríos","E",297,"30"
"Automotores",2001,2,"Formosa","P",135,"34"
"Automotores",2001,2,"Jujuy","Y",91,"38"
"Automotores",2001,2,"La Pampa","L",133,"42"
"Automotores",2001,2,"La Rioja","F",101,"46"
"Automotores",2001,2,"Mendoza","M",340,"50"
"Automotores",2001,2,"Misiones","N",220,"54"
"Automotores",2001,2,"Neuquén","Q",332,"58"
"Automotores",2001,2,"Río Negro","R",194,"62"
"Automotores",2001,2,"Salta","A",213,"66"
"Automotores",2001,2,"San Juan","J",121,"70"
"Automotores",2001,2,"San Luis","D",96,"74"
"Automotores",2001,2,"Santa Cruz","Z",173,"78"
"Automotores",2001,2,"Santa Fe","S",1370,"82"
"Automotores",2001,2,"Santiago del Estero","G",126,"86"
"Automotores",2001,2,"Tierra del Fuego","V",224,"94"
"Automotores",2001,2,"Tucumán","T",249,"90"
"Automotores",2001,3,"Buenos Aires","B",5557,"06"
"Automotores",2001,3,"Catamarca","K",124,"10"
"Automotores",2001,3,"Chaco","H",219,"22"
"Automotores",2001,3,"Chubut","U",434,"26"
"Automotores",2001,3,"Ciudad Autónoma de Bs.As.","C",4520,"02"
"Automotores",2001,3,"Córdoba","X",1649,"14"
"Automotores",2001,3,"Corrientes","W",229,"18"
"Automotores",2001,3,"Entre Ríos","E",313,"30"
"Automotores",2001,3,"Formosa","P",110,"34"
"Automotores",2001,3,"Jujuy","Y",128,"38"
"Automotores",2001,3,"La Pampa","L",135,"42"
"Automotores",2001,3,"La Rioja","F",88,"46"
"Automotores",2001,3,"Mendoza","M",459,"50"
"Automotores",2001,3,"Misiones","N",250,"54"
"Automotores",2001,3,"Neuquén","Q",396,"58"
"Automotores",2001,3,"Río Negro","R",223,"62"
"Automotores",2001,3,"Salta","A",260,"66"
"Automotores",2001,3,"San Juan","J",142,"70"
"Automotores",2001,3,"San Luis","D",109,"74"
"Automotores",2001,3,"Santa Cruz","Z",180,"78"
"Automotores",2001,3,"Santa Fe","S",1435,"82"
"Automotores",2001,3,"Santiago del Estero","G",115,"86"
"Automotores",2001,3,"Tierra del Fuego","V",238,"94"
"Automotores",2001,3,"Tucumán","T",281,"90"
"Automotores",2001,4,"Buenos Aires","B",5648,"06"
"Automotores",2001,4,"Catamarca","K",119,"10"
"Automotores",2001,4,"Chaco","H",218,"22"
"Automotores",2001,4,"Chubut","U",424,"26"
"Automotores",2001,4,"Ciudad Autónoma de Bs.As.","C",4235,"02"
"Automotores",2001,4,"Córdoba","X",1539,"14"
"Automotores",2001,4,"Corrientes","W",209,"18"
"Automotores",2001,4,"Entre Ríos","E",290,"30"
"Automotores",2001,4,"Formosa","P",96,"34"
"Automotores",2001,4,"Jujuy","Y",126,"38"
"Automotores",2001,4,"La Pampa","L",165,"42"
"Automotores",2001,4,"La Rioja","F",134,"46"
"Automotores",2001,4,"Mendoza","M",363,"50"
"Automotores",2001,4,"Misiones","N",214,"54"
"Automotores",2001,4,"Neuquén","Q",372,"58"
"Automotores",2001,4,"Río Negro","R",231,"62"
"Automotores",2001,4,"Salta","A",227,"66"
"Automotores",2001,4,"San Juan","J",138,"70"
"Automotores",2001,4,"San Luis","D",125,"74"
"Automotores",2001,4,"Santa Cruz","Z",185,"78"
"Automotores",2001,4,"Santa Fe","S",1444,"82"
"Automotores",2001,4,"Santiago del Estero","G",97,"86"
"Automotores",2001,4,"Tierra del Fuego","V",199,"94"
"Automotores",2001,4,"Tucumán","T",331,"90"
"Automotores",2001,5,"Buenos Aires","B",5643,"06"
"Automotores",2001,5,"Catamarca","K",113,"10"
"Automotores",2001,5,"Chaco","H",217,"22"
"Automotores",2001,5,"Chubut","U",442,"26"
"Automotores",2001,5,"Ciudad Autónoma de Bs.As.","C",4433,"02"
"Automotores",2001,5,"Córdoba","X",1580,"14"
"Automotores",2001,5,"Corrientes","W",248,"18"
"Automotores",2001,5,"Entre Ríos","E",290,"30"
"Automotores",2001,5,"Formosa","P",128,"34"
"Automotores",2001,5,"Jujuy","Y",167,"38"
"Automotores",2001,5,"La Pampa","L",125,"42"
"Automotores",2001,5,"La Rioja","F",115,"46"
"Automotores",2001,5,"Mendoza","M",443,"50"
"Automotores",2001,5,"Misiones","N",239,"54"
"Automotores",2001,5,"Neuquén","Q",456,"58"
"Automotores",2001,5,"Río Negro","R",215,"62"
"Automotores",2001,5,"Salta","A",239,"66"
"Automotores",2001,5,"San Juan","J",155,"70"
"Automotores",2001,5,"San Luis","D",140,"74"
"Automotores",2001,5,"Santa Cruz","Z",176,"78"
"Automotores",2001,5,"Santa Fe","S",1381,"82"
"Automotores",2001,5,"Santiago del Estero","G",116,"86"
"Automotores",2001,5,"Tierra del Fuego","V",233,"94"
"Automotores",2001,5,"Tucumán","T",312,"90"
"Automotores",2001,6,"Buenos Aires","B",4931,"06"
"Automotores",2001,6,"Catamarca","K",118,"10"
"Automotores",2001,6,"Chaco","H",239,"22"
"Automotores",2001,6,"Chubut","U",358,"26"
"Automotores",2001,6,"Ciudad Autónoma de Bs.As.","C",3856,"02"
"Automotores",2001,6,"Córdoba","X",1461,"14"
"Automotores",2001,6,"Corrientes","W",229,"18"
"Automotores",2001,6,"Entre Ríos","E",258,"30"
"Automotores",2001,6,"Formosa","P",109,"34"
"Automotores",2001,6,"Jujuy","Y",139,"38"
"Automotores",2001,6,"La Pampa","L",167,"42"
"Automotores",2001,6,"La Rioja","F",119,"46"
"Automotores",2001,6,"Mendoza","M",424,"50"
"Automotores",2001,6,"Misiones","N",231,"54"
"Automotores",2001,6,"Neuquén","Q",374,"58"
"Automotores",2001,6,"Río Negro","R",205,"62"
"Automotores",2001,6,"Salta","A",227,"66"
"Automotores",2001,6,"San Juan","J",152,"70"
"Automotores",2001,6,"San Luis","D",134,"74"
"Automotores",2001,6,"Santa Cruz","Z",219,"78"
"Automotores",2001,6,"Santa Fe","S",1240,"82"
"Automotores",2001,6,"Santiago del Estero","G",124,"86"
"Automotores",2001,6,"Tierra del Fuego","V",195,"94"
"Automotores",2001,6,"Tucumán","T",271,"90"
"Automotores",2001,7,"Buenos Aires","B",5915,"06"
"Automotores",2001,7,"Catamarca","K",111,"10"
"Automotores",2001,7,"Chaco","H",244,"22"
"Automotores",2001,7,"Chubut","U",452,"26"
"Automotores",2001,7,"Ciudad Autónoma de Bs.As.","C",4625,"02"
"Automotores",2001,7,"Córdoba","X",1774,"14"
"Automotores",2001,7,"Corrientes","W",274,"18"
"Automotores",2001,7,"Entre Ríos","E",311,"30"
"Automotores",2001,7,"Formosa","P",91,"34"
"Automotores",2001,7,"Jujuy","Y",190,"38"
"Automotores",2001,7,"La Pampa","L",152,"42"
"Automotores",2001,7,"La Rioja","F",125,"46"
"Automotores",2001,7,"Mendoza","M",448,"50"
"Automotores",2001,7,"Misiones","N",235,"54"
"Automotores",2001,7,"Neuquén","Q",452,"58"
"Automotores",2001,7,"Río Negro","R",247,"62"
"Automotores",2001,7,"Salta","A",272,"66"
"Automotores",2001,7,"San Juan","J",152,"70"
"Automotores",2001,7,"San Luis","D",133,"74"
"Automotores",2001,7,"Santa Cruz","Z",239,"78"
"Automotores",2001,7,"Santa Fe","S",1644,"82"
"Automotores",2001,7,"Santiago del Estero","G",101,"86"
"Automotores",2001,7,"Tierra del Fuego","V",215,"94"
"Automotores",2001,7,"Tucumán","T",347,"90"
"Automotores",2001,8,"Buenos Aires","B",5254,"06"
"Automotores",2001,8,"Catamarca","K",135,"10"
"Automotores",2001,8,"Chaco","H",220,"22"
"Automotores",2001,8,"Chubut","U",506,"26"
"Automotores",2001,8,"Ciudad Autónoma de Bs.As.","C",4482,"02"
"Automotores",2001,8,"Córdoba","X",1818,"14"
"Automotores",2001,8,"Corrientes","W",212,"18"
"Automotores",2001,8,"Entre Ríos","E",315,"30"
"Automotores",2001,8,"Formosa","P",79,"34"
"Automotores",2001,8,"Jujuy","Y",147,"38"
"Automotores",2001,8,"La Pampa","L",133,"42"
"Automotores",2001,8,"La Rioja","F",130,"46"
"Automotores",2001,8,"Mendoza","M",427,"50"
"Automotores",2001,8,"Misiones","N",195,"54"
"Automotores",2001,8,"Neuquén","Q",383,"58"
"Automotores",2001,8,"Río Negro","R",210,"62"
"Automotores",2001,8,"Salta","A",210,"66"
"Automotores",2001,8,"San Juan","J",124,"70"
"Automotores",2001,8,"San Luis","D",126,"74"
"Automotores",2001,8,"Santa Cruz","Z",193,"78"
"Automotores",2001,8,"Santa Fe","S",1535,"82"
"Automotores",2001,8,"Santiago del Estero","G",154,"86"
"Automotores",2001,8,"Tierra del Fuego","V",266,"94"
"Automotores",2001,8,"Tucumán","T",312,"90"
"Automotores",2001,9,"Buenos Aires","B",4566,"06"
"Automotores",2001,9,"Catamarca","K",93,"10"
"Automotores",2001,9,"Chaco","H",188,"22"
"Automotores",2001,9,"Chubut","U",474,"26"
"Automotores",2001,9,"Ciudad Autónoma de Bs.As.","C",3705,"02"
"Automotores",2001,9,"Córdoba","X",1647,"14"
"Automotores",2001,9,"Corrientes","W",184,"18"
"Automotores",2001,9,"Entre Ríos","E",272,"30"
"Automotores",2001,9,"Formosa","P",109,"34"
"Automotores",2001,9,"Jujuy","Y",95,"38"
"Automotores",2001,9,"La Pampa","L",158,"42"
"Automotores",2001,9,"La Rioja","F",98,"46"
